"BRAND","CPU","MODEL","RAM","STORAGESIZE"
"Dell","i7-8660U","XPS 13 9360","16","512"
"Lenovo","i7-8550U","X1 Carbon","16","512"
"HP","i5-8250U","Spectre x360-13t","12","256"
"Samsung","i7-8550U","NP950SBE-K01US","16","512"
"Microsoft","ï¿½i7-8650U","FUX-00001","16","512"
"LG","i7 8565U","17Z990-R.AAS8U1","16","512"
"ASUS","i5-8250U","UX330UA-AH55","8","256"
"Acer","i5-8250U","E5-576G-5762","8","256"
"MSI","i7-8750H","GS75","32","2000"
"Razer","i7-8565U","RZ09-02810E71-R3U1","8","256"
"Sager","i7-8750H","NP8956","8","500"
